index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Immortal King's Pillar 12	74	Immortal King 12	xhb	War Boots	7	37	31	lgry	lgry						5	5000	2	str		30	30	light		1	1	fireskill		3	3	gethit-skill	Mind Blast	6	14	res-cold		40	40	mana		25	25	dmg-pois	250	403	403									fireskill		2	2	gethit-skill	Weaken	24	10	light		-2	-2	oskill	Skeleton Mastery	2	2	ac%		80	80	vit		10	10	ltng-min		1	1					ltng-max		71	71						0
Immortal King's Stone Crusher 12	75	Immortal King 12	7m7	Ogre Maul	7	37	76	lgry	lgry						5	5000	2	mana		59	59	slow		25	25	mana-kill		5	5	thorns		6	6	swing2		40	40	pois-min	0	16	16	pois-max	0	32	32	pois-len	0	75	75	mana%		15	15	light		7	7	cast2		30	30	stam		50	50	dmg-ltng		333	333	mag%		40	40	bar		1	1	stupidity		10	10	enr		15	15	res-ltng		30	30	dmg-cold	50	75	75		0
Tal Rasha's Fire-Spun Cloth 12	76	Tal Rasha's Wrappings 12	zmb	Mesh Belt	7	26	53	dpur	dpur						5	5000	2	res-fire		50	50	dmg-norm		40	40	vit		8	8	gethit-skill	62	3	6	indestruct		1	1	extra-fire		5	5	manasteal	0	2	2	att-demon		100	100	thorns		5	5	dmg-fire		115	115	bar		3	3	block		25	25	mag%		20	20	openwounds		50	50	indestruct		1	1	dmg%		20	20	nec	0	2	2	swing2		20	20	res-pois-len		75	75		0
Tal Rasha's Adjudication 12	77	Tal Rasha's Wrappings 12	amu	Amulet	1	26	67	dpur	dpur						5	5000	2	red-mag		1	1	swing2		50	50	mana-kill		5	5	skilltab	9	2	2	dmg%		230	230	balance2		30	30	pierce-ltng		5	5	abs-cold%		15	15	mana		59	59	res-pois-len		75	75	dmg-pois	75	102	102	dex		5	5	nec		2	2	oskill	Life Tap	12	12	block		30	30					mag%		40	40					oskill	84	6	6		0
Tal Rasha's Lidless Eye 12	78	Tal Rasha's Wrappings 12	oba	Swirling Crystal	7	26	65	dpur	dpur						5	5000	2	att-undead		100	100	str		8	8	dmg-fire		33	33	dmg-norm		30	30	openwounds		33	33	dmg		120	120	dmg%		80	80	dmg-max		5	5	noheal		1	1	manasteal		6	6	dmg-undead		60	60	str		5	5	res-pois		30	30	oskill	Oak Sage	2	2	dmg%		280	280	block		20	20	mana		10	10	allskills		1	1	res-all		50	50		0
Tal Rasha's Howling Wind 12	79	Tal Rasha's Wrappings 12	uth	Lacquered Plate	7	26	71	dpur	dpur						5	5000	2	pierce-cold		35	35	ac		10	10	att		45	45	res-all	0	25	25	dex		10	10	sor		3	3	oskill	244	6	6	ltng-min	0	1	1	ltng-max	0	8	8	crush		20	20	skilltab	11	2	2	dmg%		220	220	indestruct		1	1	stam		40	40	nofreeze		1	1	enr		10	10	vit		15	15	light		5	5	ac		100	100		0
Tal Rasha's Horadric Crest 12	80	Tal Rasha's Wrappings 12	xsk	Death Mask	7	26	66	dpur	dpur						5	5000		dex		15	15	str		20	20	regen		5	5	ac		100	100	manasteal		8	8	dmg-to-mana		15	15	res-all		12	12	skilltab	7	2	2	dmg-min	0	10	10	res-all		5	5	oskill	74	3	3	red-mag		12	12	ac%		100	100	mag%		50	50	thorns		8	8	swing2		40	40	light		1	1	dmg%		40	40	ac		175	175		0
Griswold's Valor 12	81	Griswold's Legacy 12	urn	Corona	7	44	69	dgld	dgld						5	5000	2	dmg-und/lvl	60			dmg%		170	170	dur		100	100	hp		80	80	cold-min		10	10	cold-max		20	20	skilltab	9	2	2	gethit-skill	53	18	5	ac		20	20	oskill	103	3	3	dur		100	100	att		70	70	dmg%		180	180	skilltab	13	3	3	sock		5	5	nec		3	3	bar	0	1	1	dmg-fire		46	46	dmg-pois	125	185	185		0
Griswold's Heart 12	82	Griswold's Legacy 12	xar	Ornate Plate	7	44	45	dgld	dgld						5	5000		dmg%		60	60	light		2	2	balance2		20	20	hit-skill	52	2	10	move2		30	30	red-dmg%		15	15	pierce-ltng		5	5	mana		50	50	res-all		50	50	ac		50	50	hp		10	10	oskill	Iron Maiden	15	15	gold%		10	10	str		10	10	str		3	3	res-cold		20	20	dmg-fire		6	6	dmg-pois	100	205	205						0
Griswolds's Redemption 12	83	Griswold's Legacy 12	7ws	Caduceus	7	44	53	dgld	dgld						5	5000	2	dmg-norm		7	7	res-pois		95	95	gethit-skill	38	15	5	dmg%		240	240	dmg-ltng		200	200	indestruct		1	1	hit-skill	Static Field	15	10	res-ltng		15	15	red-mag		1	1	dmg%		100	100	fire-min		2	2	mana-kill		5	5	fire-max		3	3	block2		30	30	ease		-20	-20	res-all		70	70	cast2		10	10	att		120	120	crush		40	40		0
Griswold's Honor 12	84	Griswold's Legacy 12	paf	Vortex Shield	7	44	68	dgld	dgld						5	5000		dur		20	20	ac%		180	180	abs-fire		11	11	cast2		10	10	noheal		1	1	swing2		45	45	balance3		30	30	red-mag		7	7	oskill	144	6	6	openwounds		60	60	cheap		15	15	stupidity		1	1	pierce-cold		20	20	res-all-max		5	5	skilltab	20	2	2	dmg-ltng		200	200	mana-kill		2	2	swing3		40	40	mana		12	12		0
Trang-Oul's Guise 12	85	Trang-Oul's Avatar 12	uh9	Bone Visage	7	32	65	dgld	dgld						5	5000		balance2		25	25	mag%		65	65	deadly		50	50	ltng-min		1	1	ltng-max		6	6	cast2		45	45	res-pois	0	15	15	pal		2	2	red-mag		3	3	res-cold-max		15	15	vit		7	7	str		5	5	dmg%		350	350	ease		-50	-50	ac%		150	150	att	0	80	80	ass		1	1	hp		20	20	res-ltng	0	25	25		0
Trang-Oul's Scales 12	86	Trang-Oul's Avatar 12	xul	Chaos Armor	7	32	49	dyel	dyel						5	5000	2	noheal		1	1	dmg-norm		50	50	oskill	Oak Sage	5	5	red-dmg		8	8	lifesteal		6	6	mana		7	7	skilltab	14	1	1	block		20	20	gold%	0	75	75	extra-pois		5	5	openwounds		25	25	gethit-skill	Mind Blast	6	14	skilltab	13	3	3	red-dmg		15	15	ignore-ac		1	1	lifesteal		3	3	dmg-undead		50	50	att%	0	20	20	res-cold		30	30		0
Trang-Oul's Wing 12	87	Trang-Oul's Avatar 12	ne9	Cantor Trophy	7	32	54	dyel	dyel						5	5000	2	res-ltng		60	60	hit-skill	59	6	5	dmg-to-mana		30	30	att-demon		300	300	red-dmg		14	14	dmg%		33	33	mag%	0	9	9	manasteal	0	3	3	nofreeze		1	1	ac%		150	150	manasteal		9	9	att		250	250	regen		20	20	skilltab	11	2	2	stamdrain		15	15	str		2	2	thorns		14	14	ac		50	50	dmg%	0	50	50		0
Trang-Oul's Claws 12	88	Trang-Oul's Avatar 12	xmg	Heavy Bracers	7	32	45	dyel	dyel						5	5000		mana%		40	40	dmg-fire		6	6	ac%		260	260	dmg%		100	100	att/lvl	20			att		75	75	hp		44	44	red-dmg		25	25	allskills		1	1	openwounds		80	80	hp/lvl	10			ac%		190	190	dur		10	10	extra-cold		5	5	allskills		2	2	hit-skill	Bone Spear	15	10	dmg%		300	300	res-cold		35	35	hit-skill	Taunt	18	18		0
Trang-Oul's Girth 12	89	Trang-Oul's Avatar 12	utc	Troll Belt	7	32	47	dyel	dyel						5	5000	2	ac		25	25	dmg-undead		100	100	oskill	142	4	4	dmg%		140	140	ac%		50	50	swing2		40	40	res-all	0	14	14	att		8	8	skilltab	8	1	1	sor		2	2	dmg%		160	160	ltng-min		1	1	thorns		8	8	ltng-max		6	6	light		4	4	res-all		30	30	ease		-20	-20	hp/lvl	8			hp		80	80		0
M'avina's True Sight 12	90	M'avina's Battle Hymn 12	ci3	Diadem	7	21	59	whit	whit						5	5000	2	oskill	66	3	3	red-dmg%		10	10	light		-4	-4	stam		20	20	dmg%		280	280	slow		20	20	red-dmg		7	7	res-ltng	0	20	20	dmg-undead		200	200	res-cold-max		15	15	block		10	10	red-dmg		2	2	lifesteal		13	13	ac%		60	60	dmg-mag		250	250	vit		15	15	sock		2	2	mana/lvl	6			dmg-demon		200	200		0
M'avina's Embrace 12	91	M'avina's Battle Hymn 12	uld	Kraken Shell	7	21	70	whit	whit						5	5000	2	red-dmg%		20	20	enr		10	10	oskill	102	6	6	cold-min		5	5	cold-max		9	9	cold-len		25	25	ltng-min		1	1	ltng-max		40	40	deadly		50	50	oskill	Battle Command	6	6	dmg-undead		50	50	ltng-min		1	1	pal		2	2	ltng-max		40	40	mag%/lvl	10			str		15	15	res-all		25	25	regen-stam/lvl	2			str		2	2		0
M'avina's Icy Clutch 12	92	M'avina's Battle Hymn 12	xtg	Battle Gauntlets	7	21	32	whit	whit						5	5000	2	manasteal		10	10	ac-miss		100	100	att%		10	10	hp		20	20	mana		77	77	indestruct		1	1	dmg%		30	30	res-ltng		15	15	att-demon		300	300	deadly		50	50	regen-stam		32	32	extra-pois		5	5	oskill	59	2	2	noheal		1	1	hp		15	15	dex		6	6	res-cold		40	40	swing2		30	30						0
M'avina's Tenet 12	93	M'avina's Battle Hymn 12	zvb	Sharkskin Belt	7	21	45	whit	whit						5	5000	2	hp/lvl	4			att		66	66	cold-min	0	3	3	cold-max	0	5	5	cold-len	0	35	35	dmg-fire		480	480	enr		12	12	str		10	10	dmg-min		13	13	dur		30	30	cold-min		7	7	mag%		3	3	cold-max		15	15	swing2		20	20	skilltab	3	3	3	enr		6	6	res-all	0	19	19	res-all		30	30	oskill	IronGolem	22	22		0
M'avina's Caster 12	94	M'avina's Battle Hymn 12	amc	Grand Matron Bow	7	21	70	whit	whit						5	5000	2	balance2		20	20	swing2		20	20	deadly		33	33	dmg-norm		20	20	dex		10	10	nofreeze		1	1	pal		2	2	oskill	56	2	2	fire-max	0	24	24	swing2		10	10	res-all		15	15	regen		25	25	hit-skill	244	4	8	light		3	3	noheal		1	1	att/lvl	20			swing2		60	60	res-cold		40	40	ac		50	50		0
Telling of Beads 12	95	The Disciple 12	amu	Amulet	1	39	30	lblu	lblu						5	5000		res-ltng		75	75	skilltab	13	2	2	block		30	30	dmg-norm		20	20	oskill	13	3	3	red-mag		3	3	hp	0	10	10	res-pois		10	10	dmg-ltng		15	15	dru		2	2	att%		120	120	regen-mana		15	15	str		20	20	ac		261	261	thorns		20	20	red-mag		15	15	res-all		22	22	hp		30	30	regen		5	5		0
Laying of Hands 12	96	The Disciple 12	ulg	Bramble Mitts	7	39	63	lblu	lblu						5	5000		skilltab	18	3	3	openwounds		50	50	regen-mana		15	15	oskill	151	3	3	light		2	2	ltng-min		1	1	ltng-max		58	58	gethit-skill	Iron Maiden	8	6	cast2		10	10	res-fire		50	50	ac%		200	200	dmg-pois	100	153	153	balance2		30	30	nec		3	3	cast2		40	40	dmg/lvl	8			att		330	330	light		1	1	ease		-30	-30		0
Rite of Passage 12	97	The Disciple 12	xlb	Demonhide Boots	7	39	29	lblu	lblu						5	5000		ac		25	25	manasteal		15	15	dmg%		230	230	dmg-dem/lvl	15			att		20	20	ass		2	2	mag%		19	19	str		20	20	hp		20	20	dmg%		340	340	ac%		25	25	move2		5	5	dmg%		320	320	balance2		20	20	indestruct		1	1	fire-min		25	25	red-dmg		7	7	fire-max		50	50	oskill	64	3	3		0
Spiritual Custodian 12	98	The Disciple 12	uui	Dusk Shroud	7	39	43	lblu	lblu						5	5000		att		45	45	manasteal		7	7	sock	3			ac		75	75	hp%		25	25	heal-kill		12	12	move3		40	40	dmg-max		3	3	str		6	6	gethit-skill	76	6	2	res-fire		75	75	reduce-ac		33	33	lifesteal		8	8	dmg%		270	270	mag%		60	60	oskill	Zeal	1	1	balance2		30	30	res-all		10	10	mana-kill		2	2		0
Credendum 12	99	The Disciple 12	umc	Mithril Coil	7	39	65	lblu	lblu						5	5000		ac		30	30	sor		3	3	dex		10	10	pierce-fire		20	20	att%		10	10	block2		20	20	crush		40	40	skilltab	18	3	3	enr		15	15	mana		34	34	manasteal		13	13	balance2		25	25	stupidity		1	1	pois-min		8	8	dmg%		260	260	pois-max		24	24	pierce-cold		24	24	pois-len		75	75	oskill	56	5	5		0
Dangoon's Teaching 12	100	Heaven's Brethren 12	7ma	Reinforced Mace	7	55	68								5	5000		fire-min		3	3	fire-max		10	10	dex		15	15	ac%		200	200	dmg-cold	150	30	30	dmg-max		1	1	str		10	10	res-ltng-max	0	10	10	deadly		50	50	allskills		1	1	dur		50	50	stamdrain		-20	-20	dmg-fire		72	72	noheal		1	1	red-mag		9	9	mana		46	46	skilltab	4	2	2	skilltab	20	2	2	enr		3	3		0
Heaven's Taebaek 12	101	Heaven's Brethren 12	uts	Ward	7	55	81								5	5000		mana		10	10	att		35	35	crush		15	15	balance2		30	30	ac%		200	200	str		30	30	lifesteal	0	2	2	nec		2	2	mag%		100	100	stupidity		1	1	mana		50	50	heal-kill		15	15	skilltab	20	1	1	oskill	Cyclone Armor	21	21	dmg-fire		180	180	hit-skill	Tornado	20	16	deadly		50	50	ac		75	75	str		9	9		0
Haemosu's Adament 12	102	Heaven's Brethren 12	xrs	Cuirass	7	55	44								5	5000		str		3	3	thorns		8	8	abs-fire%		15	15	dmg%		200	200	dmg-undead		100	100	ac%		200	200	res-cold		9	9	dmg-pois	150	171	171	red-dmg		25	25	swing2		20	20	ease		-60	-60	ac-hth		50	50	dmg%		220	220	dur		15	15	res-pois-len		50	50	str		20	20	pierce-ltng		20	20	dmg-ltng		3	3	red-mag		7	7		0
Ondal's Almighty 12	103	Heaven's Brethren 12	uhm	Spired Helm	7	55	69								5	5000		mana-kill		4	4	lifesteal		5	5	hit-skill	45	10	10	res-ltng		33	33	balance3		30	30	swing1		10	10	oskill	234	4	4	att%	0	35	35	gold%	0	75	75	dmg-und/lvl	60			oskill	127	4	4	rip		1	1	res-fire		9	9	red-dmg		2	2	str		10	10	thorns		3	3	ltng-min		1	1	dex		15	15	ltng-max		60	60		0
Guillaume's Face 12	104	Orphan's Call 12	xhm	Winged Helm	7	41	34	lgry	lgry						5	5000		cast2		30	30	dru		3	3	crush		75	75	ac%		70	70	ac/lvl	24			res-cold		50	50	dmg-pois	75	18	18	dmg-max		63	63	openwounds	0	20	20	str		8	8	hp		35	35	res-all		10	10	dmg-pois	50	187	187	ac		25	25	ac		50	50	mana		18	18	ltng-min		1	1	skilltab	0	3	3	ltng-max		5	5		0
Wilhelm's Pride 12	105	Orphan's Call 12	ztb	Battle Belt	7	41	42	lgry	lgry						5	5000		dex		15	15	light		1	1	dmg-mag		108	108	skilltab	9	1	1	dmg%		80	80	red-dmg		7	7	noheal		1	1									ac		15	15	mana		30	30	reduce-ac		25	25	res-all		50	50	ac%		220	220	allskills		4	4	hit-skill	197	5	10	lifesteal		15	15	res-fire	0	12	12	oskill	Fire Ball	18	18		0
Magnus' Skin 12	106	Orphan's Call 12	xvg	Sharkskin Gloves	7	41	37	lgry	lgry						5	5000		dmg-max		3	3	res-cold		15	15	dmg%		140	140	all-stats		20	20	hp%		5	5	swing2		20	20	balance2		25	25	res-ltng		10	10	att-demon		200	200	dmg-fire		32	32	manasteal		6	6	ease		-60	-60	freeze		3	3	thorns		20	20	swing2		30	30	dmg-cold	50	75	75	bar	0	1	1	skilltab	6	1	1	regen-stam		10	10		0
Wihtstan's Guard 12	107	Orphan's Call 12	xml	Round Shield	7	41	29	lgry	lgry						5	5000		dmg-min		8	8	cast3		50	50	str		20	20	dmg%		200	200	dex		20	20	red-dmg%		20	20	ac-hth		40	40	res-all		12	12	mana-kill		1	1	half-freeze		1	1	hit-skill	56	5	6	crush		33	33	hp/lvl	8			red-mag		8	8	ac%		170	170	ac		12	12	str		25	25	dmg-min		13	13	regen-stam		25	25		0
Hwanin's Splendor 12	108	Hwanin's Majesty 12	xrn	Grand Crown	7	28	45								5	5000		vit		5	5	light		-3	-3	abs-ltng%		20	20	ltng-min	0	1	1	ltng-max	0	8	8	dmg-mag		471	471	dex		15	15	skilltab	7	3	3	crush		33	33	dex		10	10	dmg%		260	260	ac-miss		50	50	res-all		7	7	hit-skill	234	5	7	skilltab	11	2	2	skilltab	20	3	3	cast3		20	20	att-undead		50	50	res-ltng	0	25	25		0
Hwanin's Refuge 12	109	Hwanin's Majesty 12	xcl	Tigulated Mail	7	28	30								5	5000		att		35	35	ac		10	10	ac%		200	200	heal-kill		12	12	hit-skill	Hydra	12	15	skilltab	11	2	2	dmg-min		1	1	oskill	52	1	1	fireskill		2	2	mana		25	25	ignore-ac		1	1	ease		-25	-25	ac%		180	180	hit-skill	Taunt	18	18	lifesteal		8	8	mag%		50	50	gethit-skill	Terror	14	13	res-all	0	25	25	str		4	4		0
Hwanin's Seal 12	110	Hwanin's Majesty 12	mbl	Belt	7	28	35								5	5000		deadly		30	30	half-freeze		1	1	att-undead		100	100	dmg-pois	250	256	256	ac		150	150	regen-mana		10	10	balance2		25	25	light		-1	-1	hp		5	5	sor		1	1	ac-miss		100	100	att-undead		350	350	ac%		210	210	dmg%		30	30	light-thorns		30	30	att		12	12	bar		1	1	dmg-undead		200	200	oskill	111	6	6		0
Hwanin's Justice 12	111	Hwanin's Majesty 12	9vo	Bill	7	28	28								5	5000		dmg-undead		100	100	regen		10	10	dmg-demon		200	200	res-fire		40	40	dmg%	0	50	50	ama	0	2	2	res-all		7	7	dmg-max		2	2	res-pois-max	0	10	10	block		10	10	dmg-fire		32	32	dur		10	10	light		-1	-1	indestruct		1	1	oskill	Berserk	1	1	skilltab	9	4	4	dmg%		100	100	res-cold	0	16	16	allskills		2	2		0
Sazabi's Cobalt Redeemer 12	112	Sazabi's Grand Tribute 12	7ls	Cryptic Sword	7	34	73	dblu	dblu						5	5000		dmg-pois	100	460	460	reduce-ac		50	50	ac%		200	200	dmg%		225	225	deadly		50	50	ac		150	150	lifesteal		12	12	dmg-demon		200	200	res-fire		15	15	swing2		20	20	dur		20	20	oskill	Fire Mastery	2	2	oskill	Raven	14	14	thorns	0	16	16	hit-skill	Taunt	18	18	skilltab	6	1	1	mana	0	40	40	str		4	4	res-ltng		30	30		0
Sazabi's Ghost Liberator 12	113	Sazabi's Grand Tribute 12	upl	Balrog Skin	7	34	67	dblu	dblu						5	5000		dmg/lvl	10			att/lvl	20			ltng-min		1	1	ltng-max		32	32	balance2		30	30	dex		20	20	vit		15	15	res-all		8	8	allskills		1	1	dex		10	10	abs-cold		15	15	pierce-cold		60	60	fire-min		3	3	ac		150	150	fire-max		10	10	fire-min		7	7	ac%		190	190	fire-max		13	13	mag%		50	50		0
Sazabi's Mental Sheath 12	114	Sazabi's Grand Tribute 12	xhl	Basinet	7	34	43	dblu	dblu						5	5000		manasteal		6	6	swing2		50	50	reduce-ac		33	33	vit		22	22	ac		50	50	thorns	0	20	20	att		12	12	res-all		7	7	dmg-undead		75	75	aura	Fanaticism	9	9	res-pois		50	50	enr		20	20	att		50	50	mana-kill		12	12	regen-mana		30	30	ltng-min		1	1	dmg-pois	75	36	36	ltng-max		25	25	mana		30	30		0
Bul-Kathos' Sacred Charge 12	115	Bul-Kathos' Children 12	7gd	Colossus Blade	7	50	61	dgrn	dgrn						5	5000		dmg-ltng		30	30	res-fire		20	20	hit-skill	Poison Explosion	15	9	pal		3	3	att%		300	300	dmg-min		3	3	ac%		75	75	dmg%	0	100	100	stam		8	8	dmg%		280	280	red-mag		1	1	hp%		5	5	swing2		30	30	light		1	1	sor		3	3	ama	0	2	2	cast3		20	20	dmg-min		1	1	mana		5	5		0
Bul-Kathos' Tribal Guardian 12	116	Bul-Kathos' Children 12	7wd	Mythical Sword	7	50	54	dgrn	dgrn						5	5000		swing2		20	20	lifesteal		20	20	dmg%	0	20	20	gethit-skill	38	10	3	extra-ltng		5	5	ltng-min		1	1	ltng-max		9	9	dex		15	15	balance2		30	30	res-all		10	10	hp		30	30	ac		25	25	enr		10	10	dmg-fire		65	65	dmg-fire		72	72	gold%		50	50	ac-miss		200	200	dmg%		200	200	half-freeze		1	1		0
Cow King's Horns 12	117	Cow King's Leathers 12	xap	War Hat	7	20	25								5	5000		dex		12	12	swing2		10	10	skilltab	10	2	2	oskill	13	3	3	dur		50	50	regen	0	4	4	res-fire	0	30	30	att		42	42	dmg-pois	100	39	39	dmg%		190	190	str		15	15	regen-stam		50	50	mana-kill		15	15	str		25	25	dex		10	10	dmg-cold	75	30	30	res-cold		9	9										0
Cow King's Hide 12	118	Cow King's Leathers 12	stu	Studded Leather	7	20	18								5	5000		mana		50	50	res-ltng/lvl	8			att		250	250	str		20	20	ac		120	120	hit-skill	Life Tap	10	18	vit		16	16	gethit-skill	53	18	5	dmg-pois	100	39	39	ignore-ac	1	1	1	res-cold		20	20	half-freeze		1	1	half-freeze		1	1	dex	0	10	10	dmg%		100	100	regen		5	5	oskill	Summon Grizzly	13	13	hp		40	40	str		10	10		0
Cow King's Hoofs 12	119	Cow King's Leathers 12	vbt	Heavy Boots	7	20	13								5	5000		vit		15	15	dmg-cold	3	38	38	swing2		35	35	ac%		170	170	dmg%		240	240	res-cold		40	40	res-fire		30	30	res-ltng		25	25	skilltab	13	1	1	res-cold		30	30	res-all		40	40	fire-min		12	12	ac%		220	220	fire-max		25	25	light		4	4	block		30	30	lifesteal		7	7	res-all	0	20	20	hp		35	35		0
Naj's Puzzler 12	120	Naj's Ancient Set 12	6cs	Elder Staff	7	43	78								5	5000		thorns		8	8	bloody		5	5	att-und/lvl	20			regen		12	12	pierce-immunity-light		300	300	res-all		30	30	dmg%		375	375	res-fire		20	20	oskill	Fire Wall	13	13	att%		20	20	dmg%		70	70	ltng-min		1	1	att		100	100	ltng-max		8	8	res-pois		50	50	freeze		2	2	ac%		220	220	stupidity		1	1	dex		15	15		0
Naj's Light Plate 12	121	Naj's Ancient Set 12	ult	Hellforge Plate	7	43	71								5	5000		res-ltng		30	30	str		3	3	dur		25	25	lifesteal		12	12	fire-min		18	18	fire-max		36	36	stam		40	40	dmg-max		3	3	ac		6	6	mana		30	30	dmg%		200	200	deadly		30	30	ama		2	2	light		2	2	oskill	Critical Strike	2	2	allskills		1	1	att		87	87	hit-skill	Bone Spear	50	16	mana		90	90		0
Naj's Circlet 12	122	Naj's Ancient Set 12	ci0	Circlet	7	43	28								5	5000		light		7	7	oskill	Spirit of Barbs	7	7	ac%		200	200	swing2		35	35	indestruct		1	1	red-dmg		2	2	sock	3			res-all		45	45	ac		125	125	cold-min		3	3	att%		25	25	cold-max		10	10	res-all		30	30	cold-len		50	50	extra-cold		5	5	light-thorns		20	20	red-dmg		2	2	dex		10	10	move2		20	20		0
McAuley's Paragon 12	123	McAuley's Folly 12	cap	Cap	3	20	25	lpur	lpur						5	5000		dur		12	12	dru		3	3	dmg-norm		65	65	noheal		1	1	ac		300	300	res-pois-len		75	75	res-ltng		30	30	dmg-min		4	4	mana		20	20	abs-mag		8	8	dmg%		240	240																																		0
McAuley's Riprap 12	124	McAuley's Folly 12	vbt	Heavy Boots	7	20	20	lpur	lpur						5	5000		dmg%		100	100	att		70	70	ac%		80	80	oskill	127	4	4	ac/lvl	24			res-pois		30	30	gethit-skill	59	5	0	ac		775	775	ease		-15	-15	ac%		200	200	dmg-fire		35	35	balance2		30	30	dmg-max		3	3	oskill	Wearwolf	6	6	swing3		30	30	ac/lvl	40																0
McAuley's Taboo 12	125	McAuley's Folly 12	vgl	Heavy Gloves	7	20	28	lpur	lpur						5	5000		swing2		20	20	indestruct		1	1	oskill	92	13	13	dmg-cold	125	112	112	fire-min	0	15	15	fire-max	0	20	20	block2		25	25	ac/lvl	16			hit-skill	Twister	8	13	ama		1	1	extra-cold		30	30	skilltab	13	2	2	dmg%	0	80	80	manasteal	0	3	3	ama	0	1	1	nec		2	2	regen		3	3	regen		5	5	regen-mana		12	12		0
McAuley's Superstition 12	126	McAuley's Folly 12	bwn	Bone Wand	7	20	25	lpur	lpur						5	5000		oskill	14	3	3	dur		15	15	mag%/lvl	4			regen		5	5	hit-skill	Nova	10	15	mana	0	40	40	gold%		60	60	att-skill	39	5	3	dmg-pois	75	21	21	cast1		10	10	swing2		30	30	oskill	101	4	4	oskill	101	4	4	dmg-cold	150	486	486	dmg-max		10	10	res-cold		15	15	reduce-ac		25	25	enr		10	10	dmg-demon		25	25		0
Civerb's Ward 13	0	Civerb's Vestments 13	lrg	Large Shield	7	13	9	lyel	lyel						5	2500	1	swing2		30	30	att%		20	20	regen		25	25	indestruct		1	1	ignore-ac	1	1	1	stam		50	50	dmg/lvl	8			mana/lvl	6			str		1	1	openwounds		50	50	dmg-max		30	30	dmg-mag		108	108	swing2		60	60	slow		10	10	res-fire		20	20	mag%		78	78	oskill	55	6	6	dmg-undead		125	125	bar		3	3		0
Civerb's Icon 13	1	Civerb's Vestments 13	amu	Amulet	7	13	9	lyel	lyel						5	2500	2	stupidity		1	1	ac		10	10	hit-skill	59	6	5	all-stats		5	5	str	0	6	6	res-pois	0	40	40	dmg%	0	65	65									cast3		30	30	att-skill	47	10	0	oskill	Inferno Sentry	2	2	swing2		20	20	move3		40	40	att		150	150	dmg%		210	210	all-stats		10	10					hp		20	20		0
Civerb's Cudgel 13	2	Civerb's Vestments 13	gsc	Grand Scepter	7	13	9	lyel	lyel						5	2500		res-pois		50	50	hp/lvl	12			ac%		160	160	swing2		60	60	res-cold	0	30	30	skilltab	12	1	1	ama		1	1									ac/lvl	16			move3		30	30	mana	0	38	38					skilltab	17	2	2					thorns		3	3														0
Hsarus' Iron Heel 13	3	Hsarus' Defense 13	mbt	Chain Boots	7	4	3	dred	dred						5	2500	2	res-cold		15	15	str		15	15	res-all		50	50	swing3		30	30	lifesteal		10	10	hp		100	100	res-ltng	0	22	22									mana		50	50	str		30	30	cold-min		4	4	swing3		30	30	cold-max		8	8	att-undead		50	50	cold-len		75	75					dmg%	0	20	20						0
Hsarus' Iron Fist 13	4	Hsarus' Defense 13	buc	Buckler	7	4	3	dred	dred						5	2500	2	manasteal		5	5	block		25	25	crush		20	20	oskill	51	10	10	att-dem/lvl	5			dmg-ltng		200	200	regen		7	7	dmg%		50	50	res-all		20	20	res-cold		30	30	oskill	102	6	6	mana/lvl	12			ac%		20	20	ama		2	2	res-fire	0	20	20	pal		2	2														0
Hsarus' Iron Stay 13	5	Hsarus' Defense 13	mbl	Belt	7	4	3	dred	dred						5	2500	2	noheal		1	1	crush		40	40	hp		150	150	oskill	Cold Mastery	2	2	ac		500	500	ac%		60	60	res-ltng	0	28	28	thorns	0	20	20	enr		10	10	dmg-fire		200	200	red-mag		2	2	dmg%		230	230	dmg-pois	150	426	426	move3		30	30	ac		300	300	dmg-pois	75	18	18	att/lvl	10			oskill	53	3	3	att		51	51		0
Cleglaw's Tooth 13	6	Cleglaw's Brace 13	lsd	Long Sword	7	6	4	lred	lred						5	2500	2	sock	2			res-cold		35	35	swing2		50	50	gold%		160	160	gethit-skill	Chilling Armor	20	15	rep-dur	25			freeze		2	2	skilltab	7	2	2	dex		10	10	hit-skill	52	2	10	dmg%		165	165	fire-min		1	1	dex		25	25	fire-max		6	6	ac%		170	170	dmg%		225	225	str		20	20	ac%		220	220	regen		2	2		0
