index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Fechmars Axe	5	0	1			1		11	8	lax	Large Axe		5	5000	lpur	lpur						regen		10	10	dmg-cold	100	3	6	dmg-fire		15	35	ac		30	30	swing3		30	30	block2		30	30	str/lvl	4			res-all	0	15	25	skilltab	10	3	3	dmg-max		1	2	ignore-ac		1	1	dmg-pois	75	75	75		0
Goreshovel	6	0	1			1		19	14	bax	Broad Axe		5	5000	dpur	dpur						block		25	25	enr		10	10	deadly		50	50	move2		30	30	dmg%	0	41	50	mana	0	31	40	res-fire		10	11	skilltab	11	2	2	dex		3	4	manasteal		3	3	oskill	91	1	1	res-pois		20	20		0
The Chieftan	7	0	1			1		26	19	btx	Battle Axe		5	5000	oran			invbtxu				light		4	4	allskills		2	2	dex		35	35	regen		10	10	balance3		60	60	dmg-max		4	6	dmg%		151	200	mag%		2	3	mana		11	15	res-fire		26	30	gold%		21	30	enr		4	6		0
Brainhew	8	0	1			1		34	25	gax	Great Axe		5	5000	whit			invgaxu				hp		10	10	manasteal		4	7	dmg%		150	180	dmg-max		66	66	str		15	15	dru		2	2	att-demon		150	250	ac%		170	220	lifesteal		8	10	ac		40	40	red-dmg		3	3	deadly		15	15		0
The Humongous	9	0	1			1		39	29	gix	Giant Axe		5	5000	blac	blac						pal		1	1	light		-3	-3	str/lvl	4			extra-pois		3	5	oskill	Battle Command	2	6	balance2		20	20	hit-skill	Life Tap	10	18	aura	Might	17	17	red-dmg		2	2	lifesteal		10	10	str		25	25	gold%		50	50		0
Iros Torch	10	0	1			1		7	5	wnd	Wand		5	5000	cred			invwndu				dmg-max		1	1	dex		20	20	res-pois		25	25	str		10	15	block2		30	30	ac		170	210	ac/lvl	40			dmg-undead		200	200	fire-min		4	9	fire-max		11	19	block		30	30	dmg%		240	270		0
Maelstromwrath	11	0	1			1		19	14	ywn	Yew Wand		5	5000	dblu	dblu						mag%		50	50	res-all		15	25	res-pois-len		75	75	ltng-min		1	1	ltng-max		19	28	dmg-to-mana		7	12	ease		-25	-25	nofreeze		1	1	light		5	5	vit		15	15	res-pois		11	20	mana		20	20		0
Gravenspine	12	0	1			1		27	20	bwn	Bone Wand		5	5000	cgrn			invbwnu				oskill	27	3	3	hp		20	20	att-skill	53	5	0	extra-fire		3	5	regen		8	8	balance3		55	55	allskills		1	1	dex		15	15	thorns		30	30	res-all		25	25	res-fire	0	11	20	nofreeze	0	1	1		0
Umes Lament	13	0	1			1		38	28	gwn	Grim Wand		5	5000	lblu	lblu						vit		7	7	dmg-ac		-50	-50	ease		-25	-25	res-all		20	30	red-dmg%		15	25	gethit-skill	Bone Armor	15	10	nofreeze		1	1	dmg%		20	20	att		60	60	skilltab	19	2	2	dex		1	2	str		16	20		0
Felloak	14	0	1			1		4	3	clb	Club		5	5000	lgry			invclbu				oskill	87	2	2	dmg%		130	160	block2		50	50	dur		25	25	dmg-undead		250	300	ac%		25	25	res-cold		40	40	mana		77	77	res-all		15	15	bar	0	2	2	res-fire		31	40	skilltab	4	2	2		0
Knell Striker	15	0	1			1		7	5	scp	Scepter		5	5000	dred	dred						hp		30	30	openwounds		30	30	gethit-skill	59	4	6	enr		5	5	abs-ltng		9	14	str		10	15	noheal		1	1	swing2		40	40	mana-kill		5	5	allskills		1	1	att		61	80	pal	0	2	2		0
Rusthandle	16	0	1			1		23	17	gsc	Grand Scepter		5	5000	lgld	lgld						red-mag		4	4	move2		20	20	ltng-min		1	1	ltng-max		14	25	res-cold		30	30	dmg-norm		12	30	ac%		120	150	ease		-20	-20	ignore-ac		1	1	state	fullsetgeneric	1	1	dmg-demon		123	123	light		-1	-1		0
Stormeye	17	0	1			1		31	23	wsp	War Scepter		5	5000	cred	cred						dmg-fire		55	115	dmg-cold	150	27	53	skilltab	20	2	2	cast3		30	30	fire-min		11	25	fire-max		31	50	ac/lvl	24			str		20	20	att%		20	20	red-dmg		2	2	hit-skill	Nova	25	9	dmg-max		1	2		0
Stoutnail	18	0	1			1		7	5	spc	Spiked Club		5	5000	dgry			invspcu				dru		2	2	gold%		40	60	ac%		180	220	swing3		30	30	dex		15	15	bar		3	3	fire-min	0	15	15	fire-max	0	20	20	oskill	Oak Sage	25	4	half-freeze		1	1	dmg-pois	125	52	52	hp		16	20		0
Crushflange	19	0	1			1		12	9	mac	Mace		5	5000	blac	blac						hit-skill	53	5	10	oskill	73	8	8	att%		20	20	cold-min		3	3	cold-max		5	7	cold-len		25	25	deadly		15	15	ac%		75	75	ease		-20	-20	mag%		50	50	skilltab	2	1	1	half-freeze		1	1		0
Bloodrise	20	0	1			1		20	15	mst	Morning Star		5	5000	lblu			invmstu				hit-skill	81	10	1	dmg-pois	100	204	204	regen-mana		10	10	dmg-mag		100	180	mana-kill		2	2	ignore-ac		1	1	block		30	30	dex	0	8	8	dmg-undead	0	28	28	att	0	60	60	res-ltng		30	30	res-fire	0	11	20		0
The Generals Tan Do Li Ga	21	0	1			1		28	21	fla	Flail		5	5000	dblu	dblu						dmg-norm		20	30	reduce-ac		33	33	move2		20	20	pierce-pois		20	25	str		10	10	att/lvl	16			dmg-pois	150	349	349	lifesteal		5	5	dmg%		41	50	dmg-to-mana		7	12	res-ltng		21	30	dmg-max		3	4		0
Ironstone	22	0	1			1		36	27	whm	War Hammer		5	5000	cblu	cblu						red-dmg		3	3	freeze		3	3	nec		2	2	enr		20	30	regen-stam		10	10	light		3	3	att		50	50	pierce-ltng		15	15	allskills		1	1	regen		3	5	dmg-max		2	2	dmg-pois	150	86	86		0
Bonesob	23	0	1			1		32	24	mau	Maul		5	5000	lred			invmauu				skilltab	8	1	1	cold-min		1	1	cold-max		2	2	cold-len		25	25	ac%		81	100	res-ltng		6	7	res-cold		26	26	manasteal		7	8	mana		70	70	hp	0	24	24	dmg%		100	100						0
Steeldriver	24	0	1			1		39	29	gma	Great Maul		5	5000	cgrn	cgrn		invgma				red-dmg		15	20	dru		1	1	mag%		10	10	hit-skill	244	4	8	fire-min	0	8	8	fire-max	0	12	12	str		2	2	manasteal		6	6	ac		9	20	red-dmg%		15	20	dmg%		280	280	att		150	250		0
Rixots Keen	25	0	1			1		3	2	ssd	Short Sword		5	5000	blac	blac						lifesteal		5	5	slow		30	30	oskill	Battle Orders	1	2	light		-3	-3	randclassskill		0	6	ac%		25	25	dex		15	15	ease		-20	-20	ac		13	18	res-ltng		5	10	att-demon		51	100	dmg-min		6	9		0
Blood Crescent	26	0	1			1		10	7	scm	Scimitar		5	5000	lblu			invscmu				att		100	150	crush		30	30	enr		10	10	res-fire		20	20	bar		2	2	swing2		30	30	allskills		1	1	skilltab	12	3	3	ac/lvl	16			lifesteal		10	10	res-all		3	7	sor		3	3		0
Krintizs Skewer	27	0	1			1		14	10	sbr	Saber		5	5000	cblu			inv9sbu				lifesteal		8	12	att		150	250	light		-2	-2	move2		25	25	balance2		30	30	ac		100	150	res-all		30	30	dmg-min		3	3	ease		-40	-40	regen		20	20	res-pois		16	30	allskills		1	1		0
Gleamscythe	28	0	1			1		18	13	flc	Falchion		5	5000	lred			invflcu				light		-2	-2	vit		10	10	dmg-to-mana		20	20	block		30	30	cast2		20	20	att%		300	300	swing1		30	30	gold%		56	56	indestruct		1	1	mana-kill		1	1	att%/lvl	2			hp		11	15		0
Azurewrath	29	0	0			1		18	13	crs	Crystal Sword		5	5000	lgry			invcrsu				dmg%		50	60	move2		10	10	light-thorns		15	15	mana%		10	10	swing2		15	15	regen		12	12	hit-skill	Static Field	7	13	mag%/lvl	4			res-all		15	15	res-ltng		15	15	oskill	144	6	6	mana		50	50		0
Griswolds Edge	30	0	1			1		23	17	bsd	Broad Sword		5	5000	cred			invbsdu				hit-skill	45	10	10	skilltab	13	2	2	mana%		20	20	att-undead		100	200	deadly		33	33	regen-mana		10	10	att%		180	250	indestruct		1	1	swing2		10	10	oskill	67	6	6	red-mag	0	3	3	dmg-demon		200	200		0
Hellplague	31	0	1			1		30	22	lsd	Long Sword		5	5000	dred			invlsdu				block		30	30	oskill	Summon Fenris	18	15	regen-mana		10	15	dmg%		230	270	cast3		25	35	gold%		37	37	indestruct		1	1	hit-skill	101	10	3	str	0	8	8	res-pois	0	22	22	dmg-min		2	2	att%	0	35	35		0
Culwens Point	32	0	1			1		39	29	wsd	War Sword		5	5000	whit	whit						regen-mana		30	30	ltng-min		1	1	ltng-max		8	8	red-mag		14	18	lifesteal		5	7	ac%		100	130	extra-fire		10	20	openwounds		50	50	att	0	101	120	res-pois		50	50	skilltab	16	1	1	dmg-fire		218	483		0
Shadowfang	33	0	1			1		16	12	2hs	2-Handed Sword		5	5000	cgrn			inv2hsu				light		3	3	oskill	264	30	5	fire-min		1	1	fire-max		2	3	ltng-min		1	1	ltng-max		6	17	ignore-ac		1	1	att-demon		151	200	red-mag		5	5	ac		15	15	dmg-pois	100	39	39	skilltab	6	1	1		0
Soulflay	34	0	1			1		26	19	clm	Claymore		5	5000	dgrn	dgrn						ac%		70	100	oskill	74	40	5	att		28	28	nec		3	3	swing2		20	20	dex		25	25	red-mag		5	8	bar		1	1	dmg%		150	210	cold-min		8	13	cold-max		16	25	lifesteal		2	3		0
Kinemils Awl	35	0	1			1		31	23	gis	Giant Sword		5	5000	dblu			invgisu				red-dmg		2	2	enr		15	15	cold-min		4	5	cold-max		7	9	cold-len		25	25	dmg-pois	100	102	102	manasteal		10	13	ac		25	25	oskill	Revive	88	8	slow		35	35	gold%		5	10	ac-miss		100	100		0
Blacktongue	36	0	1			1		35	26	bsw	Bastard Sword		5	5000	lgrn			invbswu				dmg-max		3	3	dur		10	15	thorns		2	2	freeze		2	2	hit-skill	Volcano	5	18	half-freeze		1	1	oskill	83	27	15	res-all		25	25	ac		20	30	fire-max	0	24	24	res-pois		20	20	regen-mana		15	15		0
Ripsaw	37	0	1			1		35	26	flb	Flamberge		5	5000	cblu	cblu						thorns		15	15	str		15	15	gethit-skill	92	9	6	ac%		150	150	dur		250	250	oskill	Raven	15	8	dmg%		50	50	manasteal	0	2	2	regen-stam	0	50	50	att		151	250	hp		11	15	dmg-fire		200	200		0
The Patriarch	38	0	1			1		39	29	gsd	Great Sword		5	5000	cred			invgsdu				reduce-ac		33	33	light-thorns		4	4	ltng-min		1	1	ltng-max		6	13	str		11	15	move2		20	20	red-mag		4	6	hp%		20	20	thorns		2	2	dmg-elem		55	160	res-pois		20	30	att	0	41	60		0
Gull	39	0	1			1		6	4	dgr	Dagger		5	5000	lgry	lgry						hp		15	15	dmg%		30	30	swing2		20	20	openwounds		25	25	regen		10	10	block		25	25	sor		3	3	skilltab	12	2	2	extra-cold		15	15	ac		300	300	att		26	38	dex		10	10		0
The Diggler	40	0	1			1		15	11	dir	Dirk		5	5000	dgry	dgry						thorns		5	5	manasteal		5	7	oskill	Shape Shifting	3	6	skilltab	12	3	3	res-all		10	10	res-pois		50	50	res-cold		40	40	mana		25	25	dmg-ltng		1	50	regen		3	3	balance2		8	8	enr		1	3		0
The Jade Tan Do	41	0	1			1		26	19	kri	Kris		5	5000	oran			invkrsu				dmg-mag		100	180	dmg-pois	50	31	31	all-stats		30	30	deadly		20	20	dex		20	20	oskill	47	4	4	ac		150	150	res-fire		21	30	freeze		2	2	lifesteal		3	5	extra-ltng		10	15						0
Irices Shard	42	0	1			1		34	25	bld	Blade		5	5000	dblu	dblu						mana-kill		5	5	ac%		140	160	move2		30	30	hit-skill	Eruption	25	14	aura	Redemption	10	15	att/lvl	16			mag%		40	40	res-all		10	20	ac		500	500	swing3		40	40	oskill	53	3	3	str		20	20		0
The Dragon Chang	43	0	1			1		11	8	spr	Spear		5	5000	dpur	dpur						att		28	28	dex		10	10	dmg%		100	100	red-mag		9	12	res-cold		50	50	hp/lvl	4			skilltab	14	1	3	dmg-ltng		3	32	mana	0	17	17	manasteal	0	1	1	mana/lvl	2			oskill	225	6	6		0
Razortine	44	0	1			1		16	12	tri	Trident		5	5000	oran			invtriu				ac%		60	80	str		10	10	dmg%		200	200	swing2		25	25	skilltab	9	2	4	res-pois		100	100	balance3		55	55	res-all	0	6	6	regen	0	5	5	manasteal		7	7	red-dmg		1	1	nofreeze	0	1	1		0
Bloodthief	45	0	1			1		23	17	brn	Brandistock		5	5000	whit	whit						res-cold		30	30	ac%		200	240	slow		25	25	res-all		30	40	nofreeze		1	1	dmg%		200	200	mana	0	24	24	red-mag		7	7	dmg-max		1	3	hp		3	8	oskill	245	2	2	dex		30	30		0
Lance of Yaggai	46	0	1			1		30	22	spt	Spetum		5	5000	lred	lred						res-cold		11	12	oskill	86	5	5	skilltab	3	1	1	dmg%		180	220	red-mag		7	12	res-ltng	0	28	28	sock		2	2	att		50	50	dmg-undead		76	125	cold-min		2	4	cold-max		4	8	dmg-pois	125	308	308		0
The Tannr Gorerod	47	0	1			1		36	27	pik	Pike		5	5000	lgry	lgry						res-fire		20	20	dmg-min		5	5	ac%		70	100	swing2		10	10	allskills		2	2	nofreeze		1	1	gold%		80	160	res-all		13	13	hit-skill	Fire Ball	5	15	oskill	Evade	6	6	skilltab	12	2	2	dru		2	2		0
Dimoaks Hew	48	0	1			1		11	8	bar	Bardiche		5	5000	blac	blac						att/lvl	12			heal-kill		10	14	move2		20	20	pierce-pois		20	25	res-cold		33	33	gold%		50	50	att%		15	25	skilltab	8	1	1	cast3		20	20	dex		21	30	mana		10	10	oskill	Fire Ball	18	18		0
Steelgoad	49	0	1			1		19	14	vou	Voulge		5	5000	cgrn	cgrn						fire-min		10	12	fire-max		15	25	mana	0	21	30	att%	0	25	25	lifesteal		3	3	dmg%		20	20	move3		40	40	ac		45	50	oskill	34	4	4	res-fire		40	70	light		-2	-2	res-all	0	19	19		0
Soul Harvest	50	0	1			1		26	19	scy	Scythe		5	5000	dgry			invscyu				res-pois		20	20	dmg%		150	150	mana		36	36	move2		30	30	levelup-skill	Frost Nova	100	43	oskill	13	3	3	balance2		25	25	ignore-ac		1	1	regen-mana	0	19	19	swing2		30	30	att		10	10	res-fire		25	25		0
The Battlebranch	51	0	1			1		34	25	pax	Poleaxe		5	5000	lblu	lblu						res-fire		30	30	hp/lvl	8			swing2		20	20	regen		10	18	crush		50	50	ac%		50	50	red-mag		3	3	skilltab	16	5	5	oskill	Lightning Mastery	1	2	res-pois		11	20	str		10	15	res-all		50	50		0
Woestave	52	0	1			1		38	28	hal	Halberd		5	5000	dblu	dblu						dmg%		120	120	dur		20	40	manasteal		3	3	dmg-ltng		1	6	hp		15	15	noheal		1	1	enr		20	20	hit-skill	Poison Explosion	15	9	res-fire		20	30	res-pois		25	26	res-all		10	10	ease		-40	-40		0
The Grim Reaper	53	0	1			1		39	29	wsc	War Scythe		5	5000	lpur	lpur						fire-min		5	7	fire-max		9	13	dmg-fire		200	200	cold-min		4	6	cold-max		8	11	cold-len		25	25	balance2		30	30	str		5	5	gethit-skill	76	6	2	ac		75	150	regen		3	5	res-ltng		-90	-70		0
Bane Ash	54	0	1			1		7	5	sst	Short Staff		5	5000	lgrn	lgrn						slow		25	25	res-ltng		25	25	dex		15	15	block2		30	30	regen		10	10	mag%		20	20	dmg-mag		85	120	gold%		50	50	red-mag	0	1	1	att		121	150	att-demon		201	300	light		1	1		0
Serpent Lord	55	0	1			1		12	9	lst	Long Staff		5	5000	cgrn	cgrn						ac		25	25	mag%/lvl	8			freeze		3	3	red-mag		6	10	mana		45	45	dmg%		200	280	rep-dur	25			stupidity		33	33	red-dmg		8	8	res-cold		40	40	dex		20	20	cast3		20	20		0
Lazarus Spire	56	0	1			1		24	18	cst	Gnarled Staff		5	5000	lgry			invcstu				dmg-demon		123	123	dmg%	0	41	50	fire-min		4	9	fire-max		11	19	lifesteal		6	6	dmg-cold	25	1	1	gold%/lvl	25			openwounds		33	33	ac-miss		100	100	res-ltng	0	40	40	att		121	150	mag%		20	50		0
The Salamander	57	0	1			1		28	21	bst	Battle Staff		5	5000	dred	dred						balance2		20	20	light		2	2	dmg%		100	150	sor		3	3	res-all		40	40	demon-heal		5	10	cast2		20	20	hit-skill	101	10	3	block		55	55	dmg-fire		25	35	move1		3	3	fade		1	1		0
The Iron Jang Bong	58	0	1			1		38	28	wst	War Staff		5	5000	dyel	dyel						dex		10	20	abs-cold%		5	15	block2		20	20	mag%		50	50	dmg-to-mana		12	12	sor	0	2	2	att		21	40	manasteal		9	12	att-skill	53	5	3	oskill	31	2	2	enr		7	9	lifesteal		2	3		0
Pluckeye	59	0	1			1		10	7	sbw	Short Bow		5	5000	cblu	cblu						gethit-skill	Confuse	10	15	hit-skill	Frost Nova	25	22	aura	Might	17	17	allskills		1	1	mana		25	50	deadly		20	20	stam		9	16	skilltab	3	1	1	oskill	39	10	10	dmg-pois	75	21	21	dmg-cold	25	1	1	nofreeze		1	1		0
Witherstring	60	0	1			1		18	13	hbw	Hunter\92s Bow		5	5000	lred	lred						crush		10	10	extra-cold		8	15	dmg-fire		232	323	regen		4	4	res-all		20	30	allskills		2	2	pal		2	2	dmg%		170	220	oskill	87	30	3	block		15	15	fire-min		4	4	fire-max		6	6		0
Rimeraven	61	0	1			1		20	15	lbw	Long Bow		5	5000	dred	dred						res-cold		30	30	dmg-norm		10	15	dmg-ltng		1	50	att-demon		150	250	dmg%		180	230	str		10	10	enr		10	10	hp		66	66	res-ltng	0	16	16	ac%		20	30	att		121	150	dex	0	15	15		0
Piercerib	62	0	1			1		27	20	cbw	Composite Bow		5	5000	cred			invcbwu				ac		10	10	dex/lvl	4			skilltab	2	2	2	half-freeze		1	1	swing2		30	30	res-all		30	30	res-fire		25	25	str		10	20	res-pois		40	40	mana		41	60	res-cold		21	30	oskill	96	6	6		0
Pullspite	63	0	1			1		34	25	sbb	Short Battle Bow		5	5000	lgrn			invsbbu				noheal		1	1	res-pois-len		50	50	dmg-und/lvl	20			dmg-fire		13	46	openwounds		33	33	pierce-ltng		35	35	oskill	Critical Strike	1	6	res-all		8	8	gethit-skill	48	25	3	hp	0	17	17	res-fire		26	30	att		200	200		0
Wizendraw	64	0	1			1		35	26	lbb	Long Battle Bow		5	5000	dgrn	dgrn						att		50	75	res-fire		20	20	str		5	5	vit		15	15	hit-skill	Eruption	25	14	nofreeze		1	1	dmg-to-mana		37	37	ac		350	350	ac%		30	30	res-all		3	6	thorns		1	5	hp		81	100		0
Hellclap	65	0	1			1		36	27	swb	Short War Bow		5	5000	cgrn			invswbu				oskill	66	1	3	dmg-norm		3	7	res-all		10	10	red-mag		15	15	abs-cold/lvl	5			res-ltng		-90	-70	aura	Fanaticism	9	9	vit		10	10	skilltab	12	2	2	mana		150	150	bar		2	2	manasteal		6	7		0
Blastbark	66	0	1			1		38	28	lwb	Long War Bow		5	5000	lyel	lyel						allskills		4	4	noheal		1	1	pierce-ltng		45	55	dmg-norm		10	20	mana		11	20	deadly		15	15	fire-min	0	5	5	fire-max	0	8	8	crush		15	15	cast2		10	10	skilltab	10	3	3	stupidity		2	2		0
Leadcrow	67	0	1			1		12	9	lxb	Light Crossbow		5	5000	dyel			invlxbu				dmg%		120	120	ignore-ac		1	1	att		35	35	res-all		20	20	dex		12	12	oskill	60	2	2	hit-skill	66	4	1	res-ltng		40	50	str		25	25	ac		25	25	res-fire	0	16	16	block		7	7		0
Ichorsting	68	0	1			1		24	18	mxb	Crossbow		5	5000	lgld			invmxbu				att-und/lvl	20			dmg%		120	150	ac%		140	200	mag%		10	20	allskills		2	4	pierce-fire		20	20	all-stats		5	5	ignore-ac		1	1	dmg-mag		250	361	balance2		20	20	skilltab	5	2	2	oskill	245	2	2		0
Hellcast	69	0	1			1		36	27	hxb	Heavy Crossbow		5	5000	dgld			invhxbu				dmg-ac		-70	-70	move2		30	30	balance2		30	30	res-all		25	25	dmg-demon		151	200	att-demon		25	50	dmg-pois	50	31	31	dmg%		201	300	dmg-max		21	40	mana/lvl	2			att	0	60	60	mana		50	50		0
Doomspittle	70	0	1			1		38	28	rxb	Repeating Crossbow		5	5000	lpur			invrxbu				dex	0	6	6	res-all		50	50	swing2		60	60	fire-min		3	5	fire-max		6	11	ltng-min		1	1	ltng-max		10	10	cast3		65	65	ac		15	15	skilltab	7	2	2	str		20	30	light		-2	-2		0
War Bonnet	71	0	1			1		4	3	cap	Cap		5	5000	dpur			invcapu				indestruct		1	1	att		10	20	res-all		3	6	pal		1	1	balance3		55	55	mana-kill		5	5	red-mag		7	7	fire-min		23	23	fire-max		54	54	dmg-pois	75	30	36	mana%		5	5	manasteal		10	15		0
Tarnhelm	72	0	1			1		20	15	skp	Skull Cap		5	5000	oran	oran						res-fire		50	50	att%	0	40	40	cold-min		24	45	cold-max		91	140	dmg-ac		-70	-70	dmg-min		6	9	dmg-undead		76	125	dmg-max		20	20	allskills		2	2	cast2		20	20	hp		10	10	dmg%		10	20		0
Coif of Glory	73	0	1			1		19	14	hlm	Helm		5	5000	whit			invhlmu				att-undead		100	100	ac		12	12	deadly		35	35	gethit-skill	71	6	3	lifesteal		6	8	dmg%		370	370	ac%		75	100	res-pois-len		75	75	dmg-ltng		7	477	dmg-min		2	2	dmg-pois	100	39	39	hp		11	15		0
Duskdeep	74	0	1			1		23	17	fhl	Full Helm		5	5000	lgry			invfhlu				hp		10	10	dmg%		195	195	skilltab	20	1	3	levelup-skill	Blaze	100	36	noheal		1	1	block		25	25	res-ltng	0	40	40	vit		10	10	ac		20	30	mana		47	52	res-fire		6	7	oskill	144	6	6		0
Wormskull	75	0	1			1		28	21	bhm	Bone Helm		5	5000	lgrn			invbhmu				dmg-undead		100	100	oskill	103	3	3	ac%		80	100	enr		10	10	dmg%/lvl	24			hit-skill	42	20	10	res-fire		-30	-30	swing2		35	35	all-stats		5	5	mag%		100	100	sor		2	2	res-pois-len		25	25		0
Howltusk	76	0	1			1		34	25	ghm	Great Helm		5	5000	dgry	dgry						swing1		10	10	manasteal		5	5	move2		30	30	stamdrain		50	50	balance2		30	30	dmg%		120	150	str		10	10	enr		10	10	res-all		20	30	all-stats		5	5	res-fire	0	21	30	dmg-min		3	3		0
Undead Crown	77	0	1			1		39	29	crn	Crown		5	5000	blac	blac						dmg-ltng		1	200	res-fire		-90	-70	enr		10	10	sock		1	2	oskill	74	1	3	fire-min	0	15	15	fire-max	0	20	20	res-pois		21	30	openwounds		50	50	extra-cold		25	30	res-cold		40	40	allskills		1	1		0
The Face of Horror	78	0	1			1		27	20	msk	Mask		5	5000	lblu	lblu						oskill	225	60	12	att		632	632	str		10	10	stam		40	40	stamdrain		50	50	red-dmg%		-20	-10	gold%		50	50	dmg-fire		12	17	abs-cold/lvl		2	2	res-all		16	20	dmg/lvl	4			manasteal		6	7		0
Greyform	79	0	1			1		10	7	qui	Quilted Armor		5	5000	lgry	lgry						dmg%		70	80	regen-mana		25	25	ac		321	321	swing2		20	20	ac%		90	120	att%		180	250	dmg-to-mana		10	10	res-cold		3	5	red-dmg		4	4	cast3		20	20	dmg-max		1	1	lifesteal		5	5		0
Blinkbats Form	80	0	1			1		16	12	lea	Leather Armor		5	5000	dred	dred						dmg%		30	30	skilltab	9	3	3	res-fire		33	33	res-ltng		50	50	regen-mana		15	30	cast3		25	35	indestruct		1	1	res-cold-max		5	5	mana		8	12	red-mag		2	2	dmg-max		1	1	gold%		41	80		0
The Centurion	81	0	1			1		19	14	hla	Hard Leather		5	5000	cred	cred						att		50	50	res-ltng		75	75	light		2	2	dmg/lvl	8			hit-skill	66	6	1	res-pois		75	75	att%		20	20	balance2		20	20	vit		16	16	regen-mana		20	20	res-cold		8	10	ac		100	100		0
Twitchthroe	82	0	1			1		22	16	stu	Studded Leather		5	5000	lgrn	lgrn						stupidity		1	1	str		20	30	dur		10	15	swing2		20	20	dmg-min		5	10	rep-dur	5			dmg%		370	370	ac%		50	80	dmg-ltng		7	477	att		52	64	skilltab	16	3	3	oskill	38	6	6		0
Darkglow	83	0	1			1		19	14	rng	Ring Mail		5	5000	dgrn	dgrn						skilltab	15	3	3	crush		15	15	mag%		50	50	swing2		30	30	ac		100	100	res-cold-max		5	5	dmg-to-mana		35	35	res-pois		10	11	dex		20	20	dmg%		350	350	ac%		30	30						0
Hawkmail	84	0	1			1		20	15	scl	Scale Mail		5	5000	cgrn	cgrn						light		-4	-4	ac%		150	200	oskill	Feral Rage	3	6	regen		15	23	dmg-undead		100	100	reanimate	1	10	10	res-cold		40	40	stam		9	16	dmg-max		4	6	str		1	4	move1		3	3	allskills		1	1		0
Sparking Mail	85	0	1			1		23	17	chn	Chain Mail		5	5000	lyel	lyel						ama		1	1	dmg-demon		30	60	oskill	76	1	3	ltng-min	0	1	1	ltng-max	0	40	40	res-ltng		5	10	res-fire		28	28	dmg-ltng		1	120	ac/lvl	32			move3		30	30	cast2		20	20	dmg%		255	325		0
Venomsward	86	0	1			1		27	20	brs	Breast Plate		5	5000	dyel	dyel						dmg-mag		5	10	allskills		1	1	ac		30	30	dmg-norm		15	27	regen		10	10	dmg%/lvl	24			dmg%		180	220	slow		25	25	hp		15	15	res-cold-max		5	5	att		61	100	oskill	34	2	2		0
Iceblink	87	0	1			1		30	22	spl	Splint Mail		5	5000	lgld	lgld						nec		1	1	mana		-5	-5	nofreeze		1	1	str		5	5	dmg-fire		17	45	dmg-pois	175	312	312	hit-skill	Mark of the Wolf	100	1	allskills		1	1	dex	0	8	8	mag%	0	13	13	regen-stam	0	50	50	stam		21	30		0
Boneflesh	88	0	1			1		35	26	plt	Plate Mail		5	5000	dgld	dgld						dex		8	8	res-fire		15	15	dmg%		100	130	ac%		120	150	cast2		20	20	gethit-skill	Slow Missiles	4	5	gold%/lvl	15			mana		30	30	res-ltng		15	15	ac		105	105	skilltab	11	2	2	lifesteal		2	3		0
Rockfleece	89	0	1			1		38	28	fld	Field Plate		5	5000	dgry	dgry						mag%	0	16	16	ltng-min	0	1	1	ltng-max	0	30	30	swing2		20	20	res-all		12	15	red-dmg		7	7	abs-cold%		10	15	red-mag		4	6	res-fire		11	20	oskill	101	8	8	dmg%		280	330	dmg-elem		50	200		0
Rattlecage	90	0	1			1		39	29	gth	Gothic Plate		5	5000	dpur	dpur						red-mag		1	1	swing2		20	20	dex		15	15	bar		3	3	ac%		120	160	dur		100	100	regen		10	13	lifesteal		12	15	levelup-skill	Blaze	100	36	oskill	IronGolem	14	17	stam		21	30	skilltab	2	2	2		0
Goldskin	91	0	1			1		38	28	ful	Full Plate Mail		5	5000	oran			invfulu				light	0	2	2	skilltab	16	2	2	res-all		50	50	mag%		88	88	hit-skill	64	5	3	stamdrain		15	15	fire-min		2	3	fire-max		4	10	nofreeze		1	1	dmg-min		1	1	dmg-pois	150	86	86	dmg%		180	230		0
Victors Silk	92	0	1			1		38	28	aar	AncientArmor		5	5000	dblu			invaaru				cast2		25	25	hit-skill	44	10	3	fire-min		10	20	fire-max		21	75	balance2		20	20	move2		20	20	oskill	Bone Wall	2	3	res-cold		35	35	dex		10	15	dmg%		150	250	ac%		10	20	swing2		20	20		0
Heavenly Garb	93	0	1			1		39	29	ltp	Light Plate		5	5000	cblu	cblu						block2		20	20	swing3		40	40	manasteal		5	5	res-fire		50	50	ac%		10	10	res-all		50	50	ac		17	17	dmg%		230	270	res-ltng		33	33	fire-min		1	1	fire-max		2	2	str		8	8		0
